Delta,Country,L_b,z_b,alpha,beta,gamma,H_a,H_b,f_H,Ref_H,Remarks
,,(km),(m),rad,rad,rad,(m),(m),(-),,
Kelantan,Malaysia,800,160,2.50E-04,2.00E-04,3.00E-02,50,250,0.2,"(Sefie et al., 2018)",
Chao Praya,Thailand,1500,200,3.00E-05,1.33E-04,3.00E-02,300,600,0.5,"(Sanford and Buapeng, 1996; Yamanaka et al., 2011)",
Rhine-Meuse,The Netherlands,1200,200,7.50E-05,1.67E-04,1.64E-02,180,280,0.642857143,DINOLOKET,
Pearl,China,250,250,2.86E-05,1.00E-03,2.20E-02,15,50,0.3,"(Wang and Jiao, 2012; Zong et al., 2012)",
Yangtze,China,500,150,6.00E-05,3.00E-04,5.00E-03,50,250,0.2,"(Shi et al. 2012, Xue et al., 2008)",
Red River,Vietnam,500,177,5.00E-05,3.54E-04,2.25E-02,40,150,0.266666667,"(Larsen et al., 2017; Winkel et al., 2011)",
Ganges-Brahmaputra,Bangladesh,200,100,9.00E-05,5.00E-04,2.60E-02,250,500,0.5,"(Bonsor et al., 2017)",
Yellow River,China,1000,150,1.00E-03,1.50E-04,5.00E-03,0,300,0,"(Han et al., 2011)",
Rhone,France,75,100,1.10E-04,1.33E-03,2.67E-02,20,100,0.2,"(de Montety et al., 2008)",
Po,Italy,500,200,4.00E-05,4.00E-04,1.33E-02,NaN,1000,NaN,"(Teatini et al., 2011)",
Burdekin,Australia,120,80,5.00E-04,6.67E-04,1.60E-02,10,100,0.1,"(Fass et al., 2007) (McMahon, 2000)",
Fraser,Canada,7.5,20,6.00E-05,2.67E-03,1.05E-01,200,300,0.666666667,"(Bridger & Allen, 2006)",
Llobregat,Spain,1,1,6.67E-04,1.00E-03,2.80E-02,20,50,0.4,"(Custodio, 2001)",
Jakarta,Indonesia,1200,60,4.00E-03,5.00E-05,3.00E-02,50,200,0.25,"(Kagabu et al., 2010)",
Donana,Spain,50,100,2.50E-03,2.00E-03,2.50E-02,25,250,0.1,(Manzano et al.),
Mahanadi,India,50,50,1.00E-04,1.00E-03,2.20E-02,40,105,0.380952381,"(Sahoo & Jha, 2017)",
Vistula,Poland,1500,200,2.00E-05,1.33E-04,1.64E-02,53.33333333,120,0.444444444,"(Kozerski, 1983; Makowska, 1991)",
Mekong,Vietnam,350,150,3.00E-05,4.29E-04,3.00E-02,250,500,0.5,"(Minderhoud, 2018)",
Volta,Ghana,30,40,1.50E-04,1.33E-03,2.50E-02,0,300,0,"(Akpati, B., 1978)",
Tokar,Sudan,50,200,1.07E-03,4.00E-03,1.60E-02,50,250,0.2,(Zamrsky et al. 2018),
Ebro,Spain,60,125,2.10E-04,2.08E-03,4.00E-02,25,100,0.25,,
Shatt al-Arab,Iraq,1000,150,2.20E-04,1.50E-04,2.00E-02,80,700,0.114285714,"Jassim & Goff, 2006",
Mississippi,United States,100,150,2.00E-05,1.50E-03,3.00E-02,600,1000,0.6,"(Griffith, 2003)",
Saloum,Senegal,50,132,4.17E-05,2.64E-03,2.22E-02,80,80,1,"(Faye et al., 2005)",
Nile,Egypt,75,150,9.00E-05,2.00E-03,2.00E-02,200,1000,0.2,"(Sestini, 1989)",
Krishna,India,30,50,4.70E-04,1.67E-03,4.00E-02,160,260,0.615384615,"(Kumar et al., 2011)",
Godovari,India,30,100,2.70E-04,3.33E-03,2.90E-02,50,440,0.113636364,(Zamrsky et al. 2018),Anchor point at apex delta
Nakdong,South-Korea,350,200,,5.71E-04,,NaN,60,NaN,"(Yoo et al., 2017)",
Niger,Nigeria,100,65,7.00E-05,6.50E-04,3.63E-02,2000,1700,1.176470588,"(Amajor, 1991)","Taken Benin Formation here, weird: decreases in thickness towards the coast. Tectonics play a strong role here "
Ayeyarwady,Myanmar,200,100,8.00E-05,5.00E-04,2.30E-02,NaN,3000,NaN,"(Viossanges et al., 2017)",
Indus,Pakistan,130,231,1.25E-04,1.78E-03,2.67E-02,250,250,1,"(Naseem et al., 2018; Zamrsky et al., 2018)",
Incomati,Mozambique,50,50,4.00E-04,1.00E-03,2.20E-02,50,160,0.3125,(Zamrsky et al. 2018),
