type,explanation
1,Dispersion
2,Overtop
3,Sharp
4,Fingers
5,Mix (1&4)
,
,
,
,
id,type
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,4
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,2
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,2
58,3
59,3
60,3
61,3
62,3
63,2
64,2
65,2
66,3
67,4
68,4
69,3
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,3
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,3
89,3
90,3
91,3
92,3
93,3
94,3
95,3
96,NaN
97,NaN
98,NaN
99,NaN
100,NaN
101,NaN
102,NaN
103,NaN
104,NaN
105,NaN
106,NaN
107,NaN
108,NaN
109,NaN
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,NaN
118,NaN
119,NaN
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,4
140,4
141,4
142,4
143,4
144,1
145,1
146,5
147,3
148,3
149,3
150,3
151,1
152,1
153,1
154,1
155,1
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,1
181,1
182,1
183,1
184,1
185,1
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,NaN
217,NaN
218,NaN
219,NaN
220,NaN
221,NaN
222,NaN
223,NaN
224,NaN
225,NaN
226,NaN
227,NaN
228,NaN
229,NaN
230,NaN
231,NaN
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,NaN
238,NaN
239,NaN
240,1
241,1
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,4
251,4
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,4
282,4
283,4
284,4
285,4
286,4
287,4
