,Delta,L,l_a,alpha,beta,gamma,phi,H_b,H_a/H_b,N_aqt,Mud/Total,l_conf,N_pal,s_pal,l_tra,t_max,N_chan,l_sal,Kaqf_type,Kaqt_type,Recharge,riv_c,n,Anisotropy,Kaqf,index,Kaqt
0,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,min,min,0.0002898275349237889,2.524093886730761,0.25,10.0,0.000864,11,2.5e-08
1,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,min,max,0.0002898275349237889,2.524093886730761,0.25,10.0,0.000864,11,1.0
2,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,min,mid_0,0.0002898275349237889,2.524093886730761,0.25,10.0,0.000864,11,0.00015811388300841894
3,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,max,min,0.0002898275349237889,2.524093886730761,0.25,10.0,8.639,42,2.5e-08
4,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,max,max,0.0002898275349237889,2.524093886730761,0.25,10.0,8.639,42,1.0
5,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,max,mid_0,0.0002898275349237889,2.524093886730761,0.25,10.0,8.639,42,0.00015811388300841894
6,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,mid_0,min,0.0002898275349237889,2.524093886730761,0.25,10.0,0.0863949998553157,73,2.5e-08
7,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,mid_0,max,0.0002898275349237889,2.524093886730761,0.25,10.0,0.0863949998553157,73,1.0
8,Kelantan,840.0,0.047619047619047616,0.00025,0.0002,0.03,1.2045746922699283,250,0.2,2.0,0.2,1.0,2.0,0.6,0.25,6000.0,1,0.0,mid_0,mid_0,0.0002898275349237889,2.524093886730761,0.25,10.0,0.0863949998553157,73,0.00015811388300841894
9,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,min,min,9.782340862423004e-05,51.262046943365384,0.25,10.0,3.7,2,2.1e-07
10,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,min,max,9.782340862423004e-05,51.262046943365384,0.25,10.0,3.7,2,0.0005
11,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,min,mid_0,9.782340862423004e-05,51.262046943365384,0.25,10.0,3.7,2,1.02469507659596e-05
12,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,max,min,9.782340862423004e-05,51.262046943365384,0.25,10.0,120.0,33,2.1e-07
13,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,max,max,9.782340862423004e-05,51.262046943365384,0.25,10.0,120.0,33,0.0005
14,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,max,mid_0,9.782340862423004e-05,51.262046943365384,0.25,10.0,120.0,33,1.02469507659596e-05
15,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,mid_0,min,9.782340862423004e-05,51.262046943365384,0.25,10.0,21.071307505705473,64,2.1e-07
16,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,mid_0,max,9.782340862423004e-05,51.262046943365384,0.25,10.0,21.071307505705473,64,0.0005
17,Chao Praya,1640.0,0.08536585365853659,3e-05,0.00013333333333333334,0.03,0.8397599144111035,600,0.5,7.0,0.5,1.0,2.0,0.6,0.7,6000.0,1,0.35714285714285715,mid_0,mid_0,9.782340862423004e-05,51.262046943365384,0.25,10.0,21.071307505705473,64,1.02469507659596e-05
18,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,min,min,0.0004999999999999999,424.26406871192825,0.3,10.0,0.1,22,0.001
19,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,min,max,0.0004999999999999999,424.26406871192825,0.3,10.0,0.1,22,0.1
20,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,min,mid_0,0.0004999999999999999,424.26406871192825,0.3,10.0,0.1,22,0.01
21,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,max,min,0.0004999999999999999,424.26406871192825,0.3,10.0,100.0,53,0.001
22,Rhine-Meuse,1350.0,0.1111111111111111,7.5e-05,0.00016666666666666666,0.016428571428571428,0.9272952180016122,280,0.6428571428571429,3.0,0.1,1.0,4.0,0.2,0.2,7500.0,2,0.26666666666666666,max,max,0.0004999999999999999,424.26406871192825,0.3,10.0,100.0,53,0.1
