Supplement of Clim. Past, 12, 1079–1092, 2016
http://www.clim-past.net/12/1079/2016/
doi:10.5194/cp-12-1079-2016-supplement
© Author(s) 2016. CC Attribution 3.0 License.
Supplement of
A Late Pleistocene sea level stack
Rachel M. Spratt and Lorraine E. Lisiecki
Correspondence to: Lorraine E. Lisiecki (lisiecki@geol.ucsb.edu)
The copyright of individual parts of the supplement might differ from the CC-BY 3.0 licence.
Age(ka) PC1 Sigma 2.50% 25% 50% 75% 97.50%
0 8.49 5.23 -1.72 0.06 2.78 7.06 17.93
1 7.63 4.87 -2.9 0 2.2 6.43 16.39
2 4.01 4.83 -4.51 -0.31 1.2 5.56 13.59
3 4.35 4.72 -6.93 -2.23 0 3.73 12.08
4 3.13 4.74 -10.43 -4.72 -1.48 0.96 8.41
5 0 4.57 -12.34 -6.22 -3.27 0 5.12
6 -4.01 5.04 -16.88 -9.4 -5.75 -2.12 0.62
7 -6.11 5.9 -22.41 -13.74 -9.48 -5.55 -0.39
8 -9.09 6.79 -28.86 -18.85 -14.07 -9.99 -2.96
9 -15.83 8.3 -37.35 -26.37 -20.6 -14.93 -5.22
10 -24.59 10.3 -50.17 -36.45 -29.96 -22.69 -9.89
11 -35.85 11.93 -63.99 -48.54 -41.44 -32.96 -17.59
12 -51.05 12.3 -76.8 -61.03 -53.34 -44.9 -28.6
13 -66.3 12.38 -89.53 -73.87 -65.86 -57.4 -39.9
14 -76.64 12.35 -100.98 -86.33 -78.37 -70.27 -53.14
15 -86.57 12.34 -111.08 -97.87 -89.7 -81.45 -61.67
16 -98.06 12.28 -119.52 -106.84 -99.5 -90.81 -70.64
17 -107.3 11.96 -125.43 -114.56 -108.08 -99.14 -77.7
18 -113.01 11.16 -129.44 -120.12 -114 -106.78 -84.14
19 -116.68 10.61 -131.87 -124.64 -119.1 -112.09 -89.61
20 -117.56 10.08 -134.08 -128.7 -123.18 -115.95 -95.64
21 -120.01 9.14 -134.42 -130.24 -126.9 -120.65 -99.63
22 -125.82 7.66 -134.52 -131.36 -128.81 -123.91 -106.07
23 -128.72 5.27 -134.73 -131.71 -129.63 -126.07 -113.3
24 -130 4.38 -134.58 -131.77 -129.79 -126.89 -118.09
25 -126.89 4.5 -134.18 -130.68 -128.3 -125.14 -116.35
26 -122.4 5.15 -133.23 -128.73 -125.53 -121.93 -113.54
27 -118.28 5.44 -130.83 -124.87 -121.49 -117.58 -109.88
28 -115.19 5.74 -126.93 -120.83 -117.02 -113.21 -105.25
29 -110.87 5.64 -123.11 -116.79 -113.29 -109.3 -100.95
30 -105.78 5.72 -119.56 -113.17 -109.74 -105.99 -97.59
31 -103.5 5.81 -115.83 -109.64 -106.1 -102.23 -93.16
32 -100.63 6.14 -113.45 -107.06 -103.47 -99.26 -89.89
33 -97.48 6.4 -112.63 -105.56 -101.97 -97.54 -87.9
